Aartsenia japonica	コシダカドウマルクチキレ
Colpodes limodromoides	サドモリヒラタゴミムシ
Colpodes modestior	イクビモリヒラタゴミムシ
Colpodes morimotoi	モリモトモリヒラタゴミムシ
Colpodes mutator	フクシマモリヒラタゴミムシ
Colpodes obscuritarsis	トゲバネモリヒラタゴミムシ
Colpodes obuscuritarsis	トゲバネモリヒラタゴミムシ
Colpodes otuboi	クロケナシヒラタゴミムシ
Colpodes rubriola	クビアカモリヒラタゴミムシ
Colpodes rubriolus	クビアカモリヒタラゴミムシ
Colpodes sataensis	サタヒラタゴミムシ
Colpodes speculater	ホソモリヒラタゴミムシ
Colpodes speculator	ホソモリヒラタゴミムシ
Colpodes sylphis	キンモリヒラタゴミムシ
Colpodes sylphis honshuensis	キンモリヒラタゴミムシ
Colpodes sylphis sadoenshis	キンモリヒラタゴミムシ
Colpodes sylphis stichai	キンモリヒラタゴミムシ
Colpodes sylphis sylphis	キンモリヒラタゴミムシ
Colpodes xestus	ツヤモリヒラタゴミムシ
Colpomenia bullosa	ワタモ
Colpomenia peregrina	ウスカワフクロノリ
Colpomenia phaeodactyla	ホソクビワタモ
Colpomenia simcosa	フクロノリ
Colpomenia sinuosa	フクロノリ
Colpomenia sinuosa f. deformans	ワタモ
Colpotrochia nipponensis	キマダラマルヒメバチ
Colpura lativentris	オオツマキヘリカメムシ
Colsyrnola brunnea	チャイロクチキレ
Colsyrnola ornata	キザミメクチキレ
Coltricia cinnamomea	ニッケイタケ
Coltricia dependens	ヒメカイメンタケ
Coltricia montagnei	ウズタケ
Coltricia perennis	オツネンタケ
Coltricia pusilla	ヒメオツネンタケ
Colubraria antiquata	ヒモカケシリキレボラ
Colubraria castanea	セコバイ
Colubraria castanes	セコバイ
Colubraria cumingi	ヒモカケセコバイ
Colubraria cumingii	ヒモカケセコバイ
Colubraria maricata	オボロセコバイ
Colubraria muricata	スギタニセコバイ
Colubraria nitidula	ミガキセコバイ
Colubraria souvebii	アラレセコバイ
Colubraria tortuosa	ネジレセコバイ
Colubrellina granularis	イワカワウネボラ
Colubrina asiatica	ヤエヤマハマナツメ
Columba albinucha	シロエリバト
Columba albitorques	シロエリカワラバト
Columba araucana	チリーバト
Columba argentina	ギンモリバト
Columba arquatrix	オリーブバト
Columba bollii	カナリーバト
Columba caribaea	ジャマイカオビオバト
Columba cayennensis	ムラサキバト
Columba corensis	アオメバト
Columba delegorguei	ブロンズエリジロバト
Columba elphinstonii	カノコモリバト
Columba eversmanni	ヒガシヒメモリバト
Columba fasciata	オビオバト
Columba flavirostris	アカハシバト
Columba goodsoni	ウスグロバト
Columba guinea	ウロコカワラバト
Columba hodgsonii	ゴマフバト
Columba inornata	アンチルバト
Columba iriditorques	ニジェリバト
Columba janthina	カラスバト
Columba janthina janthina	カラスバト
Columba jouyi	リュウキュウカラスバト
Columba junoniae	ゲッケイジュバト
Columba leucocephala	シロボウシバト
Columba leucomela	シロガシラカラスバト
Columba leuconota	ユキバト
Columba livia	カワラバト
Columba livia domestica	ドバト
Columba livia var. domestica	ドバト
Columba maculosa	シロボシバト
Columba malherbii	サントメニジェリバト
Columba mayeri	モーリシャスバト
Columba nigrirostris	コバシバト
Columba oenas	ヒメモリバト
Columba oenops	ペルーバト
Columba oliviae	ソマリーヒメモリバト
Columba pallidiceps	キアシカラスバト
Columba palumboides	アンダマンモリバト
Columba palumbus	モリバト
Columba picazuro	アカメバト
Columba plumbea	ハイイロバト
Columba pollenii	コモロオリーブバト
Columba pulchricollis	タイワンジュズカケバト
Columba punicea	ムラサキモリバト
Columba rupestris	コウライバト
Columba rupestris rupestris	コウライバト
Columba sjostedti	カメルーンオリーブバト
Columba speciosa	アカハシウロコバト
Columba squamosa	アカエリバト
Columba subvinacea	チョコレートバト
Columba thomensis	サントメオリーブバト
Columba torringtoni	セイロンカノコモリバト
Columba trocaz	マデイラバト
Columba unicincta	ハラジロバト
Columba versicolor	オガサワラカラスバト
Columba vitiensis	アカメカラスバト
Columbarium pagoda	イトグルマガイ
Columbarium pagoda costatum	カセンイトグルマ
Columbarium pagoda f. costata	カセンイトグルマ
Columbarium pagoda f. costatum	カセンイトグルマ
Columbarium pagoda f. nakayasui	ケショウイトグルマ
Columbarium pagoda f. stellatum	ミョウジョウイトグルマ
Columbarium pagoda nakayasui	ケショウイトグルマ
Columbarium pagoda pagoda	イトグルマ
Columbarium pagoda stellatum	ミョウジョウイトグルマ
Columbarium pagoda var. stellatum	ミョウジョウイトグルマ
Columbarium spinicinctum	カラタチイトグルマガイ
Columbella borealis	ヒメマルフトコロ
Columbella marcatoria	コバトフトロコガイ
Columbella mercatoria	コバトフトコロ
Columbella rustica	アフリカタモト
Columbella rusticoides	マルフトコロ
Columbella turturina	マルフトコロ
Columbella varians	チヂミフトコロ
Columbella versicolor atladona	イボフトコロ
Columbella versicolor versicolor	フトコロガイ
Columbellopsis canina	キバマツムシガイ
Columbellopsis lischkei	シラゲガイ
Columbicola columbae	ハトナガハジラミ
Columbid herpesvirus 1	ハトヘルペスウイルス 1
Columbina buckleyi	オオスズメバト
Columbina cruziana	キバシヒメバト
Columbina cyanopis	アオメヒメバト
Columbina minuta	フナシスズメバト
Columbina passerina	スズメバト
Columbina picui	イチモンジバト
Columbina talpacoti	ケアシスズメバト
Columella edentula	ナガナタネガイ
Columella japonica	ビンボフカヅラ
Colurella adriatica	ユビナガチビワムシ
Colurella bicuspidata	ウエムキチビワムシ
Colurella tesselata	スジチビワムシ
Colus (C.) esychus esychus	アラスカツムバイ
Colus calamaeus	ヒラノイトマキツムバイ
Colus coerulescens	イトマキツムバイ
Colus esychus	ツムバイ
Colus esychus kujiana	ツムバイ
Colus gracilis	ユウビツムバイ
Colus halli	フトツムバイ
Colus herendeeni	アカツムバイ
Colus hiranoi	ヒラノイトマキツムバイ
Colus nobilis	ユウビツムバイ
Colus paraus	チビイトマキツムバイ
Colus periscelidus	ウスバヒモマキツムバイ
Colus persicelidus	ウスバヒモマキツムバイ
Colus spitzbergeni	ヒモマキツムバイ
Colus spitzbergensis	ヒモマキツムバイ
Colusis wrightii f. laciniata	ハゴロモヤリノホラン
Colutea arborescens	ボウコウマメ
Colwellia aestuarii	コルウェリア・アエスツアリイ
Colwellia demingiae	コルウェリア・デミンギアエ
Colwellia hadaliensis	コルウェリア・ハダリエンシス
Colwellia hornerae	コルウェリア・ホルネラエ
Colwellia maris	コルウェリア・マリス
Colwellia piezophila	コルウェリア・ピエゾフィラ
Colwellia psychrerythraea	コルウェリア・サイクレリスラエ
Colwellia psychrotropica	コルウェリア・サイクロトロピカ
Colwellia rossensis	コルウェリア・ロセンシス
Colydalis ochotensis	ツルキケマン
Colylopsis pauciflora	ヒュウガミズキ
Colylus helerophylla var. thunbergii	ハシバミ
Colymbetes pseudostriatus	エゾヒラタヒメゲンゴロウ
Colymbetes tolli	エゾヒラタヒメゲンゴロウ
Colysis decurrens	オオイワヒトデ
Colysis elegans	コマチイワヒトデ
Colysis elliptica	イワヒトデ
Colysis hemionitidea	タイワンクリハラン
Colysis insignis	ホコザキウラボシ
Colysis kiusiana	アイイワヒトデ
Colysis leptophylla	ウスバイワヒトデ
Colysis pothifoha	オオイワヒトデ
Colysis pothifolia	オオイワヒトデ
Colysis pothifolia f. bipinnatifida	オニイワヒトデ
Colysis pteropus	ミツデヘラシダ
Colysis shintenensis	シンテンウラボシ
Colysis simplicifrons	ヒトツバイワヒトデ
Colysis simplieifrons	ヒトツバイワヒトデ
Colysis wightii	ヤリノホクリハラン
Colysis wrghitii	ヤリノホクリハラン
Colysis wrightii	ヤリノホクリハラン
Colysis wrightii f. laciniata	ハゴロモヤリノホラン
Colysis wrightii var. wrightii	ヤリノホクリハラン
Colysus sieboldiana	ツノハシバミ
Comamonas acidovorans	コマモナス・アシドボランス
Comamonas aquatica	コマモナス・アクアティカ
Comamonas badia	コマモナス・バディア
Comamonas denitrificans	コマモナス・デニトリフィカンス
Comamonas kerstersii	コマモナス・カースタシイ
Comamonas koreensis	コマモナス・コーリエンシス
Comamonas nitrativorans	コマモナス・ニトラティボランス
Comamonas terrigena	コマモナス・テリゲナ
Comamonas testosteroni	コマモナス・テストステロニ
Comantheria imbricata	アシブトオオバンウミシダ
Comantheria intermedia	アシボソオオバンウミシダ
Comanthosphace japonica	テンニンソウ
Comanthosphace japonica f. barbinervis	フジテンニンソウ
Comanthosphace stellipila	イトカケソウ
Comanthosphace stellipila var. tosaensis	オオマルバノテンニンソウ
Comanthosphace stillipila	ミカエリソウ
Comanthosphace sublanceolata	テンニンソウ
Comanthus alternans	ネジレウミシダ
Comanthus gisleni	ギスレンウミシダ
Comanthus japonica	ニツポンウミシダ
Comanthus parvicirra	コアシウミシダ
Comanthus parvicirrus	コアシウミシダ
Comanthus solaster	ウテナウミシダ
Comanthus wahlbergii	マキエダコアシウミシダ
Comaroma maculosa	ヨロイヒメグモ
Comaroma maculosum	ヨロイヒメグモ
Comarum palustre	クロバナロウゲ
Comaster multifidus	ヒトフシウミシダ
Comaster nobilis	ハナウミシダ
Comaster schlegeli	マキエダハナウミシダ
Comastoma pulmonarium sectum	サンプクリンドウ
Comatella stelligera	フトウデオガサワラウミシダ
Comatilia careopinna	ハネカケウミシダ
Comatricha alta	ナガホカミノケホコリ
Comatricha alta var. macrospora	オオナガホカミノケホコリ
Comatricha filamentosa	ハジケカミノケホコリ
Comatricha fragilis	モツレカミノケホコリ
Comatricha kowalskii	アキカミノケホコリ
Comatricha laxa	スカシカミノケホコリ
Comatricha nigra	ヤリカミノケホコリ
Comatricha pulchella	アカカミノケホコリ
Comatricha pulchella var. fusca	アミモチカミノケホコリ
Comatricha tenerrima	ツムギカミノケホコリ
Comatula pectinata	アシカケクシウミシダ
Comatulides decameros	トウデウミシダ
Comelina sativa	アマナズナ
Comibaena amoenaria	ヘリジロヨツメアオシャク
Comibaena argentataria	ギンスジアオシャク
Comibaena delicatior	クロモンアオシャク
Comibaena diluta	ヨツテンアオシャク
Comibaena ingrata	カラフトウスアオシャク
Comibaena procumbaria	ヨツモンマエジロアオシャク
Comidogryllus nipponensis	ヒメコオロギ
Cominella adspersa	ゴマフニュージーランドボラ
Cominella virgata	クロスジニュージーランドボラ
Comissia minuta	マメトウデクシウミシダ
Comissia parvula	ヒメトウデクシウミシダ
Comissia spinosissima	トゲトウデクシウミシダ
Comitas ensyuensis	エンシュウイグチ
Comitas kaderleyi	イグチガイ
Comitas kaderlyi	イグチガイ
Comitas kamakurana	カマクライグチ
Comitas kirai	アケボノイグチ
Comitas kuroharai	クロハライグチ
Comitas pellucida	ネリギヌイグチ
Comitas pelucida	ネリギヌイグロ
Commatarcha palaeosema	シロモンクロシンクイ
Commelina auriculata	ホウライツユクサ
Commelina benghalenis	マルバツユクサ
Commelina benghalensis	マルバツユクサ
Commelina communis	アオバナ
Commelina communis albiflora	シロバナツユクサ
Commelina communis f. albiflora	シロバナツユクサ
Commelina communis f. ciliata	オニツユクサ
Commelina communis f. hebespatha	ケツユクサ
Commelina communis f. hehespatha	ケツユクサ
Commelina communis hebespatha	ケツユクサ
Commelina communis var. angustifolia	ホソバツユクサ
Commelina communis var. communis	ツユクサ
Commelina communis var. communis f. albiflora	シロバナツユクサ
Commelina communis var. communis f. hebespatha	ケツユクサ
Commelina communis var. hortensis	オオボウシバナ
Commelina communis var. rosea	モモイロツユクサ
Commelina diffusa	シマツユクサ
Commelina eommunis var. hortensis	オオボウシバナ
Commelina multiflora	シマツユクサ
Commelina nudiflora	シマツユクサ
Commelina undulata	ナミツユクサ
Commerina communis	ツユクサ
Comospermum yedoense	ケイビラン
Comostola rubripunctata	アカホシヒメアオシャク
Comostola subtiliaria	コヨツメアオシャク
Comostola subtiliaria nympha	コヨツメアオシャク
Comperiella bifasciata	フタスジトビコバチ
Comperiella unifasciata	ヒトスジトビコバチ
Compressidens kikuchi	ヒナツノガイ
Compressidens kikuchii	ヒナツノガイ
Compressidentalinm hungerfordi	ヒラツノガイ
Compressidentalium hungerfordi	ヒラツノガイ
Compressiscala japonica	ネダケイトカケ
Compsilura concinnata	ノコギリハリバエ
Compsobata japonica	キアシアシナガヤセバエ
Compsodrillia mammillata	チクビモミジボラ
Compsodrillia nakamurai	オキナモミジボラ
Compsolechia lignaria	ツツジキバガ
Compsolechia solemnella	シロオビクロキバガ
Compsometra serrata	トゲバネウミシダ
Compsopogon aeruginosus	イバラオオイシソウ
Compsopogon corticrassus	アツカワオオイシソウ
Compsopogon hookeri	インドオオイシソウ
Compsopogon oishii	オオイシソウ
Compsothraupis loricata	ヒノドフウキンチョウ
Comptopallium radula	リュウキュウオウギ
Comptopallium strangei	アラフラキンチャクガイ
Comptopallium vexillum	ツヅレキンチャクガイ
Conacmella vagans	キバオカチグサ
Conandron ramondiodes	イワタバコ
Conandron ramondioides	イワタバコ
Conandron ramondioides var. pilosum	ケイワタバコ
